"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"FID3,FID1,FID6,FID4";"Fiducial1x3";4;"Fiducial";;;
2;"UEXT1";"GBH-254-SMT-10";1;"P-B-V-10-LF";;;
3;"D2";"SOT23-3";1;"BAT54C(SOT23-3)";;;
4;"FET2,FET1,FET3";"SOT23";3;"WPM2015-3/TR";;;
5;"R48,R39,R32,R25,R36,R1,R6,R18,R19,R2,R37";"R_0402_5MIL_DWS";11;"10k/R0402";;;
6;"R47,R24,R46";"R_0402_5MIL_DWS";3;"220R/R0402";;;
7;"R31,R8,R5,R14,R35,R15,R41";"R_0402_5MIL_DWS";7;"2.2k/R0402";;;
8;"R4";"R_0402_5MIL_DWS";1;"47k/R0402";;;
9;"CHRG1,ACT1";"LED_0603_KA";2;"LED/YELLOW/0603";;;
10;"R13,R10,R12,R11";"R_0402_5MIL_DWS";4;"49.9R/1%/R0402";;;
11;"R44,R49";"R_0402_5MIL_DWS";2;"NA/R0402";;;
12;"LAN_CON1";"RJP-003TC1(LPJ4112CNL)";1;"RJP-003TC1(LPJ4112CNL)";;;
13;"C21";"C_0603_5MIL_DWS";1;"NA(10uF/6.3V/20%/X5R/C0603)";;;
14;"C22,C6,C9,C1,C7,C10,C13";"C_0603_5MIL_DWS";7;"22uF/6.3V/20%/X5R/C0603";;;
15;"R33";"R_0402_5MIL_DWS";1;"4.7R/R0402";;;
16;"D9,D4,D6,D7";"SOD-123_1C-2A_KA";4;"1N5819S4(SOD-123)";;;
17;"C12,C24";"C_0603_5MIL_DWS";2;"100nF/100V/10%/X7R/C0603";;;
18;"RST1,BUT1";"IT1185AU2_V2";2;"IT1185AU2";;;
19;"C23";"C_0402_5MIL_DWS";1;"12pF/50V/5%/COG/C0402";;;
20;"R34";"R_0402_5MIL_DWS";1;"5.23k/1%/R0402";;;
21;"R38";"R_0402_5MIL_DWS";1;"30.1k/1%/R0402";;;
22;"L2";"L_2016_MM";1;"1.0uH/4.2A/DCR=35mR/20%/2.00x1.60x1.00mm/L2016(PIM201610-1R0MTS00)";;;
23;"FID2,FID5";"Fiducial1x3_Paste";2;"Fiducial";;;
24;"C27";"CPOL-RM2.5mm_6.3x11mm_PTH";1;"15uF/100V/20%/RM2.5/6.3x11mm(Farnell:1281844)";;;
25;"D5";"DO214AB(SMC)_1(K)-2(A)";1;"SS510/100V/5A/0.85V/DO214AB(SMC)";;;
26;"C25";"CPOL-RM2.5mm_6.3x11mm_PTH";1;"470uF/10V/20%/Low_ESR/RM2.5/6.0x11mm";;;
27;"L4";"DBS135";1;"33uH/2.1A/DCR=0.1R/20%/DBS135(PD3316MT330)";;;
28;"R29";"R_0402_5MIL_DWS";1;"220k/R0402";;;
29;"R30";"R_0402_5MIL_DWS";1;"49.9k/1%/R0402";;;
30;"D3,D1";"SMA-KA";2;"1N5822/SS34/SMA";;;
31;"USB-UART1";"USB-MICRO_MISB-SWMM-5B_LF";1;"MISB-SWMM-5B-LF(USB_MICRO)";;;
32;"U7";"SOT-563-6";1;"TPS62A02ADRLR(SOT-563-6)";;;
33;"C11,C15,C16,C18,C8,C14,C28";"C_0402_5MIL_DWS";7;"100nF/16V/10%/X7R/C0402";;;
34;"LNK1";"LED_0603_KA";1;"LED/GREEN/0603";;;
35;"U5";"ESOIC-8";1;"TX4138(ESOIC-8)";;;
36;"U6";"ESP32-WROVER_MODULE";1;"ESP32-WROVER-E";;;
37;"MH1,MH2,MH3";"NPTH_2.2mm";3;"Mounting_Hole_NPTH";;;
38;"BAT1";"LIPO_BAT_VERTICAL_DW02S";1;"DW02S";;;
39;"PWR1";"LED_0603_KA";1;"LED/RED/0603";;;
40;"C29";"C_0402_5MIL_DWS";1;"NA(120pF/50V/5%/C0G/C0402)";;;
41;"EXT2,EXT1";"HN1x10";2;"NS(HN1x10)";;;
42;"RM1,RM2,RM3";"R_MATRIX_4";3;"RA1206_(4X0603)_4B8_2.2k";;;
43;"MICRO_SD1";"uSD(TFC-9P-1.xH(ATFFS150A01BR016))";1;"TFC-9P-1.7H(ATFFS150A01BR016)";;;
44;"R40,R45";"R_0402_5MIL_DWS";2;"10R/R0402";;;
45;"C3";"C_0805_5MIL_DWS";1;"47uF/6.3V/20%/X5R/C0805";;;
46;"C17";"C_0603_5MIL_DWS";1;"2.2uF/6.3V/10%/X5R/C0603";;;
47;"L1,L3,L5";"L_0805_5MIL_DWS";3;"FB0805/600R/2A";;;
48;"R22,R17";"R_0402_5MIL_DWS";2;"470k/R0402";;;
49;"C19";"C_0402_5MIL_DWS";1;"1nF/50V/10%/X7R/C0402";;;
50;"BAT_SENS_E1";"SJ_1_SMALLER";1;"Opened";;;
51;"Sign_Antistatic";"LOGO_ANTISTATIC_1";1;"Val**";;;
52;"Sign_RecycleBin";"LOGO_RECYCLEBIN_1";1;"";;;
53;"Sign_PB-Free";"LOGO_PBFREE";1;"";;;
54;"Logo_OSHW";"LOGO_OPENHARDWARE_8x8";1;"";;;
55;"C2";"C_1206_5MIL_DWS_ISO";1;"1nF/2000V/10%/X7R/C1206";;;
56;"D8";"SMA-KA";1;"SMAJ58A/SMA";;;
57;"Q2,Q3";"SOT23";2;"BC817-40(SOT23)";;;
58;"R21,R20,R3";"R_0402_5MIL_DWS";3;"1k/R0402";;;
59;"R16";"R_0402_5MIL_DWS";1;"NA(10k/R0402)";;;
60;"Logo_Olimex";"OLIMEX_LOGO_TB";1;"";;;
61;"TVS2,TVS3";"D_0402_5MIL_DWS";2;"NA(GG0402052R542P)";;;
62;"TVS1";"SOT-23-5";1;"ESDS314DBVR(SOT-23-5)";;;
63;"U4";"QFN32_EP(33)_5.00x5.00x0.90mm_Pitch_0.50mm";1;"LAN8710A-EZC(QFN32)";;;
64;"R26";"R_0402_5MIL_DWS";1;"12.1k/1%/R0402";;;
65;"R28";"R_1206_5MIL_DWS";1;"0.03R/1%/R1206";;;
66;"R9";"R_0402_5MIL_DWS";1;"100k/R0402";;;
67;"CE";"CE_Sign";1;"CE_Sign";;;
68;"R42,R7";"R_2512_MM_DWS";2;"9.1k/R2512";;;
69;"C26";"C_0603_5MIL_DWS";1;"NA(220pF/100V/C0603)";;;
70;"R43";"R_0603_5MIL_DWS";1;"NA(22R/R0603)";;;
71;"U8";"SOT-23-5";1;"SN74LVC1G04DBVR(SOT23-5)";;;
72;"U3";"SOT-23-5";1;"TP4054-42-SOT25-R(SOT23-5)";;;
73;"T1";"SOT23";1;"LMUN2211LT1G(SOT-23)";;;
74;"C20";"C_0603_5MIL_DWS";1;"1uF/10V/20%/X5R/C0603";;;
75;"R52";"R_0402_5MIL_DWS";1;"24.9k/1%/R0402";;;
76;"R54";"R_0805_5MIL_DWS";1;"66.5R/1%/125mW/R0805";;;
77;"U1";"MSOP-10_Pitch-0.5mm_3.00x3.00x1.00mm";1;"CH340X(MSOP-10)";;;
78;"R55";"R_0402_5MIL_DWS";1;"4.7k/R0402";;;
79;"Class4_EN1";"SJ_Closed";1;"Closed";;;
80;"R53";"R_0402_5MIL_DWS";1;"1.27k/1%/62.5mW/R0402";;;
81;"U9";"ESOIC-8";1;"TPS2378DDAR(HSOIC-8)";;;
